Type,Name,Status,Score /5,Author,Buy? Own? Sell?
Novel,My Heart and Other Black Holes,Finished,⭐️⭐️⭐️,Jasmine Warga,Owned
Novel,Howl’s Moving Castle,Finished,⭐️⭐️⭐️⭐️⭐️,Diana Wynne Jones,Owned
Novel,The Song of Achilles,Finished,⭐️⭐️⭐️⭐️⭐️,Madeline Miller,To Buy
Novel,To Kill A Mockingbird,Finished,⭐️⭐️⭐️,Harper Lee,Owned
Novel,One of Us is Lying,Finished,⭐️⭐️⭐️,Karen Magmanus,Owned
Novel,The School for Good and Evil,Finished,⭐️⭐️⭐️,Soman Chainani,Owned
Novel,The School for Good and Evil: A World Without Princes,Finished,⭐️⭐️,Soman Chainani,Owned
Novel,"Warcross ",Finished,⭐️⭐️⭐️,Marie Lu,Owned
Novel,Wildcard,Finished,⭐️,Marie Lu,Owned
Novel,The Girl Who Just Appeared,Finished,⭐️⭐️⭐️,Jonathan Harvey,Owned
Novel,Her Evil Twin,Finished,⭐️⭐️,Mimi McCoy,Owned
Novel,Turtles All the Way Down,Finished,⭐️⭐️⭐️,John Green,Owned
Novel,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,Reading,,R.F. Kuang,To Buy
Web Novel,Heaven Official’s Blessing,Finished,⭐️⭐️⭐️⭐️⭐️,Mo Xiang Tong Xiu,Owned
Web Novel,Grandmaster of Demonic Cultivation,Finished,⭐️⭐️⭐️⭐️,Mo Xiang Tong Xiu,To Buy
Web Novel,The Scum Villain's Self-Saving System,Finished,⭐️⭐️,Mo Xiang Tong Xiu,Not Buying
Web Novel,"Guide On How To Fail At Online Dating ",On Extras,⭐️⭐️⭐️⭐️,Jiang Zi Bei,Not Buying
Web Novel,"https://www.novelupdates.com/series/the-husky-and-his-white-cat-shizun/ ",Reading,,Meatbun Doesn't Eat Meat,Not Buying
Web Novel,FOG,Reading,,Man Man He Qi Dou,Not Buying
Web Novel,Fake Slackers,Reading,,Mu Gua Huang,Not Buying
Web Novel,I Ship My Adversary x Me,Reading,,PEPA,Not Buying
Web Novel,Reverend Insanity,Reading,,Gu Zhen Ren,Not Buying
Web Novel,Mist [Unlimited],Reading,,Wei Feng Ji Xu,Not Buying
Novel,"Red, White & Royal Blue",Dropped,0/5,Casey McQuiston,Not Buying
Novel,The Book of Enoch,Unfinished,,R. H. Charles,Not Buying
Novel,They Both Die at the End,Reading,,Adam Silvera,Not Buying
Novel,"The Picture of Dorian Gray ",Ready to Start,,Oscar Wilde,To Buy
Novel,Circe,Ready to Start,,Madeline Miller,To Buy
Novel,"Frankenstein ",Unread,,Mary Shelley,Not Buying
Pop Fiction Novel,The Conspiration of the Universe,Finished,⭐️⭐️⭐️⭐️⭐️,Kenneth Olanday,Owned
Pop Fiction Novel,Fallen Part 2: The Eternity After,Finished,⭐️⭐️,Mhabelle Quizon,Owned
Pop Fiction Novel,Montello High: School of Gangsters,Finished,⭐️⭐️⭐️⭐️⭐️,Shiela May Familaran,Owned
Pop Fiction Novel,If I Fall,Unread,,Leng De Chavez,Owned
Pop Fiction Novel,Why Him?,Finished,⭐️,Alexis Adelantar,To Sell
Pop Fiction Novel,The Bachelor,Finished,⭐️,Janelle Ruiz,To Sell
Pop Fiction Novel,His Possessive Ways,Unread,,Marco Jose,To Sell
Pop Fiction Novel,The Ceyla Chronicles: Helios Murders,Finished,⭐️⭐️⭐️,"Aicka Muñoz, Mhabelle Quizon, Shiela May Familaran, Shim Simplina, Teresa Sanchez",Owned
Pop Fiction Novel,Voiceless 2,Finished,⭐️⭐️⭐️⭐️,Denny R.,Missing
Pop Fiction Novel,Snow White Is A Gangster,Finished,⭐️⭐️⭐️⭐️,Shiela May Familaran,Owned
Pop Fiction Novel,The King of Jerks,Finished,⭐️,Angelica P. Asis,To Sell
Pop Fiction Novel,Fallen Part 1: Exordium,Finished,⭐️⭐️⭐️,Mhabelle Quizon,Owned
Pop Fiction Novel,"Lana’s List ",Finished,⭐️⭐️,Louisse Carreon,Owned
Novel,Flipped,Finished,⭐️⭐️⭐️⭐️,Wendelin Van Draanen,Owned
Pop Fiction Novel,Reapers: The First Familiar,Reading,,Shim Simplina,Owned
Pop Fiction Novel,The Way It Was Before,Finished,⭐️⭐️⭐️,Kia Timbrevilla Amazona,Owned
Pop Fiction Novel,Karmic Hearts,Unfinished,,Jhing Bautista,Owned
Pop Fiction Novel,A Miracle,Finished,⭐️⭐️⭐️⭐️,Jessamine Versoza,Owned
Novel,Don't Even Think about It,Finished,⭐️⭐️,Sarah Mlynowski,Borrowed
Pop Fiction Novel,Never Wake The Demon,Unread,,Rhy Avelino,Owned
Pop Fiction Novel,A Latte Like Love,Unread,,"Ariesa Domingo, forgottenglimmer",Owned
Pop Fiction Novel,The Nerdy Rebound Girl,Unread,,Geneva Ofalsa,To Sell
Novel,An Abundance of Katherines,Unfinished,,John Green,Owned
Pop Fiction Novel,Reapers: Thirteen Brothers,Finished,⭐️⭐️⭐️⭐️⭐️,Shim Simplina,Owned
Pop Fiction Novel,Apostle Thirteen: A King’s Heart,Finished,⭐️⭐️⭐️,altheadelarama,Borrowed
Novel,Starstruck,Unread,,Rachel Shukert,Owned
Pop Fiction Novel,Wonderland Magical Academy: Touch of Fire,Finished,⭐️⭐️,Missmaple,Owned
Pop Fiction Novel,Voiceless,Finished,⭐️⭐️⭐️,Denny R.,Missing